order_id,customer_name,invoice_paise,created_at,status
ORD00001,Aarav Bhat,898749,2026-02-11,paid
ORD00002,Ishita Desai,894962,2026-02-11,paid
ORD00003,Aditya Nair,493143,2026-02-11,paid
ORD00004,Kabir Bhat,213032,2026-02-11,paid
ORD00005,Ananya Iyer,402944,2026-02-11,paid
ORD00006,Ananya Gupta,448382,2026-02-11,refunded
ORD00007,Tara Nair,410663,2026-02-11,paid
ORD00008,Rohan Joshi,446922,2026-02-09,paid
ORD00009,Tara Chopra,357419,2026-02-09,paid
ORD00010,Manav Reddy,429201,2026-02-09,paid
ORD00011,Rohan Sharma,788797,2026-02-09,paid
ORD00012,Meera Bhat,743384,2026-02-09,paid
ORD00013,Arjun Menon,448591,2026-01-19,paid
ORD00014,Riya Patel,716563,2026-01-19,paid
ORD00015,Riya Reddy,438162,2026-01-19,paid
ORD00016,Arjun Desai,752729,2026-01-19,paid
ORD00017,Rohan Rao,766751,2026-01-19,paid
ORD00018,Karan Nair,534714,2026-01-20,paid
ORD00019,Sneha Reddy,721088,2026-01-20,paid
ORD00020,Aditya Chopra,767870,2026-01-20,paid
ORD00021,Diya Reddy,855635,2026-01-20,paid
ORD00022,Aditya Bose,83659,2026-01-20,paid
ORD00023,Rohan Reddy,330746,2026-01-20,paid
ORD00024,Vikram Patel,724079,2026-02-05,paid
ORD00025,Vihaan Reddy,327746,2026-02-05,paid
ORD00026,Sneha Joshi,831177,2026-02-05,paid
ORD00027,Manav Bose,325504,2026-02-05,paid
ORD00028,Karan Gupta,661878,2026-02-05,paid
ORD00029,Vihaan Joshi,279974,2026-02-05,paid
ORD00030,Rohan Bhat,567488,2026-02-05,paid
ORD00031,Ananya Patel,99405,2026-02-05,paid
ORD00032,Karan Rao,453457,2026-02-12,paid
ORD00033,Rahul Nair,540785,2026-02-12,paid
ORD00034,Aarav Khanna,630099,2026-02-12,paid
ORD00035,Ananya Khanna,805731,2026-02-12,paid
ORD00036,Arjun Bhat,613054,2026-02-12,paid
ORD00037,Vikram Sharma,215840,2026-01-23,paid
ORD00038,Arjun Joshi,807168,2026-01-23,paid
ORD00039,Ishita Joshi,848975,2026-01-23,paid
ORD00040,Saanvi Chopra,161579,2026-01-23,paid
ORD00041,Rahul Rao,719987,2026-01-23,paid
ORD00042,Vihaan Gupta,258573,2026-01-23,paid
ORD00043,Ishita Joshi,849550,2026-01-23,paid
ORD00044,Rahul Sharma,866449,2026-01-23,paid
ORD00045,Saanvi Reddy,430612,2026-01-06,paid
ORD00046,Meera Rao,110738,2026-01-06,paid
ORD00047,Rohan Desai,132582,2026-01-06,paid
ORD00048,Rohan Bhat,559597,2026-01-06,paid
ORD00049,Vihaan Patel,608582,2026-01-06,paid
ORD00050,Tara Bose,603306,2026-01-15,paid
ORD00051,Sneha Bhat,272086,2026-01-15,paid
ORD00052,Kabir Desai,815388,2026-01-15,paid
ORD00053,Karan Khanna,376858,2026-01-15,paid
ORD00054,Riya Menon,731446,2026-01-15,paid
ORD00055,Vikram Iyer,592717,2026-01-15,paid
ORD00056,Meera Iyer,309947,2026-01-15,paid
ORD00057,Meera Sharma,667024,2026-02-11,paid
ORD00058,Diya Reddy,124441,2026-02-11,paid
ORD00059,Diya Chopra,120674,2026-02-11,paid
ORD00060,Rohan Joshi,396479,2026-02-11,paid
ORD00061,Arjun Khanna,299565,2026-02-11,paid
ORD00062,Kabir Joshi,558993,2026-02-11,paid
ORD00063,Pooja Bhat,304801,2026-02-10,paid
ORD00064,Kabir Iyer,476833,2026-02-10,paid
ORD00065,Nisha Gupta,151639,2026-02-10,paid
ORD00066,Nisha Menon,494154,2026-02-10,paid
ORD00067,Diya Khanna,814491,2026-02-10,paid
ORD00068,Ananya Sharma,735197,2026-02-10,paid
ORD00069,Aditya Bhat,472179,2026-02-10,paid
ORD00070,Meera Reddy,164576,2026-02-10,paid
ORD00071,Ishita Nair,492374,2026-02-02,paid
ORD00072,Meera Chopra,535100,2026-02-02,paid
ORD00073,Vikram Bhat,129046,2026-02-02,paid
ORD00074,Ananya Sharma,627057,2026-02-02,paid
ORD00075,Sneha Chopra,733823,2026-02-02,paid
ORD00076,Rohan Bhat,65474,2026-02-02,paid
ORD00077,Karan Sharma,274130,2026-02-05,paid
ORD00078,Karan Sharma,222634,2026-02-05,paid
ORD00079,Arjun Bhat,459386,2026-02-05,paid
ORD00080,Vikram Nair,873267,2026-02-05,paid
ORD00081,Sneha Khanna,493555,2026-02-05,paid
ORD00082,Pooja Patel,803305,2026-02-05,paid
ORD00083,Saanvi Reddy,249122,2026-02-05,paid
ORD00084,Manav Desai,111324,2026-02-05,paid
ORD00085,Pooja Joshi,662554,2026-01-08,paid
ORD00086,Ishita Sharma,606926,2026-01-08,paid
ORD00087,Rohan Chopra,582496,2026-01-08,paid
ORD00088,Rohan Rao,244851,2026-01-08,paid
ORD00089,Meera Bose,121262,2026-01-08,paid
ORD00090,Rohan Bose,699468,2026-02-12,paid
ORD00091,Manav Rao,739305,2026-02-12,paid
ORD00092,Aditya Nair,598177,2026-02-12,paid
ORD00093,Aditya Reddy,264181,2026-02-12,paid
ORD00094,Karan Patel,328517,2026-02-12,paid
ORD00095,Vikram Rao,59767,2026-01-26,paid
ORD00096,Ananya Iyer,640341,2026-01-26,paid
ORD00097,Kabir Joshi,613750,2026-01-26,paid
ORD00098,Vihaan Gupta,328082,2026-01-26,paid
ORD00099,Meera Gupta,122132,2026-01-26,paid
ORD00100,Rahul Sharma,691390,2026-02-09,paid
ORD00101,Sneha Nair,750305,2026-02-09,paid
ORD00102,Ananya Patel,745613,2026-02-09,paid
ORD00103,Ananya Iyer,327312,2026-02-09,paid
ORD00104,Sneha Patel,828480,2026-02-09,paid
ORD00105,Saanvi Rao,335577,2026-02-09,paid
ORD00106,Aditya Reddy,270861,2026-02-09,paid
ORD00107,Rohan Khanna,103266,2026-02-05,refunded
ORD00108,Arjun Sharma,494151,2026-02-05,paid
ORD00109,Aditya Bhat,53717,2026-02-05,paid
ORD00110,Arjun Patel,187174,2026-02-05,paid
ORD00111,Vikram Joshi,827236,2026-02-05,paid
ORD00112,Nisha Joshi,789945,2026-02-05,paid
ORD00113,Ananya Iyer,60139,2026-02-05,paid
ORD00114,Sneha Patel,660805,2026-01-07,paid
ORD00115,Vihaan Sharma,500664,2026-01-07,paid
ORD00116,Riya Bhat,373232,2026-01-07,paid
ORD00117,Riya Reddy,91832,2026-01-07,paid
ORD00118,Meera Khanna,765198,2026-01-07,paid
ORD00119,Riya Bhat,157786,2026-01-07,paid
ORD00120,Nisha Rao,637080,2026-01-07,paid
ORD00121,Aarav Patel,482322,2026-01-15,paid
ORD00122,Aditya Bhat,822343,2026-01-15,paid
ORD00123,Meera Nair,481712,2026-01-15,paid
ORD00124,Ananya Bose,216931,2026-01-15,paid
ORD00125,Pooja Reddy,90605,2026-01-15,paid
ORD00126,Vikram Gupta,259267,2026-01-15,paid
ORD00127,Kabir Bose,742094,2026-01-19,paid
ORD00128,Arjun Chopra,394207,2026-01-19,paid
ORD00129,Arjun Gupta,122792,2026-01-19,paid
ORD00130,Rahul Bose,722642,2026-01-19,paid
ORD00131,Sneha Gupta,762526,2026-01-19,paid
ORD00132,Arjun Sharma,658792,2026-01-21,paid
ORD00133,Tara Bose,163668,2026-01-21,paid
ORD00134,Aditya Bose,412479,2026-01-21,paid
ORD00135,Rahul Iyer,685656,2026-01-21,paid
ORD00136,Manav Reddy,453906,2026-01-21,paid
ORD00137,Diya Desai,317095,2026-01-21,paid
ORD00138,Nisha Iyer,431913,2026-02-09,paid
ORD00139,Aditya Rao,746503,2026-02-09,paid
ORD00140,Ananya Desai,379164,2026-02-09,paid
ORD00141,Rahul Nair,364910,2026-02-09,paid
ORD00142,Nisha Gupta,749287,2026-02-09,paid
ORD00143,Saanvi Joshi,471947,2026-02-09,paid
ORD00144,Ishita Rao,760219,2026-02-02,paid
ORD00145,Saanvi Bose,646750,2026-02-02,paid
ORD00146,Aarav Nair,624553,2026-02-02,paid
ORD00147,Kabir Bose,350850,2026-02-02,paid
ORD00148,Manav Rao,873927,2026-02-02,paid
ORD00149,Aditya Menon,736508,2026-02-02,paid
ORD00150,Vikram Khanna,513246,2026-02-02,paid
ORD00151,Rahul Menon,274082,2026-02-02,paid
ORD00152,Meera Khanna,147923,2026-02-06,paid
ORD00153,Meera Bhat,375498,2026-02-06,paid
ORD00154,Vihaan Sharma,258802,2026-02-06,paid
ORD00155,Meera Menon,98458,2026-02-06,paid
ORD00156,Rohan Menon,690967,2026-02-06,paid
ORD00157,Manav Reddy,484572,2026-02-06,paid
ORD00158,Karan Menon,803240,2026-02-06,paid
ORD00159,Ananya Bhat,837443,2026-01-14,paid
ORD00160,Meera Patel,495798,2026-01-14,paid
ORD00161,Rahul Menon,893170,2026-01-14,paid
ORD00162,Sneha Reddy,102657,2026-01-14,paid
ORD00163,Vikram Patel,177253,2026-01-14,paid
ORD00164,Vikram Rao,841937,2026-02-09,paid
ORD00165,Rahul Bose,804213,2026-02-09,paid
ORD00166,Vikram Patel,624485,2026-02-09,paid
ORD00167,Pooja Menon,829779,2026-02-09,paid
